Input,Output,model,dataset
248,1,google/flan-t5-base,sciq
116,8,google/flan-t5-base,sciq
80,1,google/flan-t5-base,sciq
166,1,google/flan-t5-base,sciq
84,1,google/flan-t5-base,sciq
40,1,google/flan-t5-base,sciq
150,1,google/flan-t5-base,sciq
94,1,google/flan-t5-base,sciq
125,1,google/flan-t5-base,sciq
70,1,google/flan-t5-base,sciq
53,1,google/flan-t5-base,sciq
47,1,google/flan-t5-base,sciq
84,1,google/flan-t5-base,sciq
188,1,google/flan-t5-base,sciq
211,1,google/flan-t5-base,sciq
88,1,google/flan-t5-base,sciq
154,1,google/flan-t5-base,sciq
58,1,google/flan-t5-base,sciq
93,1,google/flan-t5-base,sciq
57,1,google/flan-t5-base,sciq
69,1,google/flan-t5-base,sciq
170,1,google/flan-t5-base,sciq
74,1,google/flan-t5-base,sciq
57,1,google/flan-t5-base,sciq
115,9,google/flan-t5-base,sciq
105,1,google/flan-t5-base,sciq
137,1,google/flan-t5-base,sciq
98,1,google/flan-t5-base,sciq
220,1,google/flan-t5-base,sciq
106,1,google/flan-t5-base,sciq
228,1,google/flan-t5-base,sciq
113,1,google/flan-t5-base,sciq
176,1,google/flan-t5-base,sciq
137,1,google/flan-t5-base,sciq
160,1,google/flan-t5-base,sciq
90,9,google/flan-t5-base,sciq
134,1,google/flan-t5-base,sciq
137,4,google/flan-t5-base,sciq
168,1,google/flan-t5-base,sciq
126,1,google/flan-t5-base,sciq
89,1,google/flan-t5-base,sciq
82,1,google/flan-t5-base,sciq
144,1,google/flan-t5-base,sciq
88,1,google/flan-t5-base,sciq
133,1,google/flan-t5-base,sciq
92,1,google/flan-t5-base,sciq
111,1,google/flan-t5-base,sciq
76,1,google/flan-t5-base,sciq
120,1,google/flan-t5-base,sciq
80,1,google/flan-t5-base,sciq
104,1,google/flan-t5-base,sciq
113,1,google/flan-t5-base,sciq
62,1,google/flan-t5-base,sciq
156,1,google/flan-t5-base,sciq
100,1,google/flan-t5-base,sciq
109,1,google/flan-t5-base,sciq
195,1,google/flan-t5-base,sciq
115,5,google/flan-t5-base,sciq
115,9,google/flan-t5-base,sciq
66,17,google/flan-t5-base,sciq
124,17,google/flan-t5-base,sciq
236,1,google/flan-t5-base,sciq
123,1,google/flan-t5-base,sciq
130,1,google/flan-t5-base,sciq
86,1,google/flan-t5-base,sciq
44,1,google/flan-t5-base,sciq
93,1,google/flan-t5-base,sciq
118,1,google/flan-t5-base,sciq
52,1,google/flan-t5-base,sciq
60,1,google/flan-t5-base,sciq
81,1,google/flan-t5-base,sciq
180,1,google/flan-t5-base,sciq
185,1,google/flan-t5-base,sciq
101,1,google/flan-t5-base,sciq
113,17,google/flan-t5-base,sciq
100,1,google/flan-t5-base,sciq
122,1,google/flan-t5-base,sciq
100,1,google/flan-t5-base,sciq
97,1,google/flan-t5-base,sciq
119,1,google/flan-t5-base,sciq
